,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm1,Courm2,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Giete,Trient,Catogne,Vallo,TaVents,Flegere,Arrivee,timediff
17,67,TEIXEIRA Armando Jorge,SALOMON-SUUNTO PORTUGAL,V1H,18,PT,90529.0,5032.0,7293.0,11291.0,15024.0,18911.0,20899.0,26772.0,30615.0,33671.0,35291.0,37037.0,37557.0,41417.0,45100.0,47675.0,51622.0,55329.0,61994.0,69655.0,71750.0,76464.0,79031.0,85593.0,87590.0,90529.0,14374.0
18,17,MAUCLAIR Nathalie,FREERUN,V1F,19,FR,90933.0,5171.0,7410.0,11474.0,15102.0,19207.0,21127.0,26975.0,31193.0,34124.0,35961.0,37889.0,38150.0,41948.0,45623.0,47885.0,51706.0,55540.0,62292.0,69854.0,71922.0,76461.0,79060.0,85448.0,87557.0,90933.0,14778.0
19,188,CASADELLA GARDELLA Jordi,TRC ARESTA,SEH,20,ES,92512.0,5235.0,7462.0,11739.0,16072.0,20431.0,22492.0,29068.0,33288.0,36303.0,38120.0,40164.0,40922.0,44843.0,48397.0,50879.0,54750.0,58438.0,65049.0,72475.0,74716.0,79248.0,81526.0,87774.0,89701.0,92512.0,16357.0
20,33,MORALES RAMIREZ Gerard,BUFF PRO TEAM,V1H,21,ES,92513.0,5366.0,7692.0,11840.0,15724.0,19784.0,21585.0,27691.0,31265.0,34066.0,35753.0,37608.0,38270.0,42640.0,47158.0,49986.0,53964.0,58081.0,65049.0,72473.0,74715.0,79245.0,81525.0,87769.0,89698.0,92513.0,16358.0
21,87,BACKHAUSEN Majell,,SEH,22,AU,92606.0,5193.0,7414.0,11541.0,15453.0,19782.0,21702.0,28123.0,32283.0,35344.0,37169.0,39004.0,39439.0,43646.0,47681.0,50461.0,54787.0,58997.0,65803.0,73174.0,75121.0,79802.0,82166.0,88176.0,89940.0,92606.0,16451.0
22,214,MACCHI Andrea,ATLETICA GAVIRATE,SEH,23,IT,93325.0,5254.0,7624.0,11830.0,15864.0,19774.0,21766.0,27894.0,31644.0,34639.0,36461.0,38354.0,39307.0,43257.0,47035.0,49376.0,53129.0,57004.0,63939.0,72017.0,74264.0,79298.0,81964.0,88290.0,90355.0,93325.0,17170.0
23,135,MOTSCH Mathieu,,V1H,24,FR,93414.0,5128.0,7412.0,11470.0,15501.0,19684.0,21644.0,27701.0,31634.0,34880.0,36648.0,38519.0,38967.0,43000.0,46812.0,49361.0,53325.0,57149.0,63950.0,71942.0,74269.0,79154.0,81796.0,88538.0,90615.0,93414.0,17259.0
24,103,COLLISON Kim,Raidlight UK,SEH,25,GB,93696.0,4842.0,6907.0,10839.0,14575.0,18464.0,20355.0,26241.0,29888.0,32757.0,34454.0,36227.0,36423.0,40545.0,44198.0,46551.0,50551.0,54230.0,61401.0,69178.0,71614.0,76929.0,80060.0,87732.0,90068.0,93696.0,17541.0
25,202,GRAZIELLI Davide,ZERO RUNNING COMPANY,V1H,26,IT,93833.0,5443.0,7783.0,12113.0,16274.0,20479.0,22634.0,29070.0,33358.0,36267.0,38114.0,40165.0,40543.0,44532.0,48169.0,50715.0,54582.0,58454.0,65175.0,72914.0,75148.0,80185.0,82827.0,89215.0,91091.0,93833.0,17678.0
26,101,ROUANET Renaud,,SEH,27,FR,94442.0,5291.0,7733.0,11984.0,16120.0,20286.0,22412.0,28676.0,32359.0,35371.0,37259.0,39186.0,39577.0,43422.0,47316.0,49880.0,53938.0,57904.0,64875.0,72616.0,74782.0,79655.0,82309.0,89287.0,91390.0,94442.0,18287.0
27,132,MOLIN Ivano,TEAM SCARPA - U.S. TRE CIME,V1H,28,IT,94500.0,5399.0,7830.0,12377.0,16864.0,21278.0,23369.0,30004.0,33953.0,36911.0,38761.0,40850.0,41386.0,45468.0,49029.0,51633.0,55165.0,59125.0,65804.0,73342.0,75659.0,80245.0,82753.0,89161.0,91418.0,94500.0,18345.0
28,2608,RIZZOTTO Julien,,SEH,29,FR,95373.0,5320.0,7743.0,11927.0,15929.0,20017.0,22037.0,28159.0,32526.0,35592.0,37490.0,39559.0,40236.0,44103.0,47754.0,50402.0,54362.0,58342.0,65721.0,74119.0,76201.0,81122.0,84149.0,90073.0,92268.0,95373.0,19218.0
29,25,FRAILE AZPEITIA Uxue,TEAM VIBRAM,V1F,30,ES,95375.0,5341.0,7671.0,11997.0,16379.0,20809.0,22738.0,29280.0,33042.0,35990.0,37732.0,39557.0,39846.0,44101.0,47973.0,50615.0,54759.0,58467.0,66047.0,74116.0,76023.0,80621.0,83315.0,90069.0,92267.0,95375.0,19220.0
30,406,HALL Damian,CORSHAM RUNNING CLUB,V1H,31,GB,96106.0,5224.0,7526.0,11658.0,15444.0,19396.0,21405.0,27167.0,30791.0,33550.0,35268.0,37314.0,38531.0,43043.0,46841.0,49441.0,53575.0,57299.0,64720.0,72931.0,75357.0,80627.0,83825.0,90462.0,92648.0,96106.0,19951.0
31,213,GRASEL Florian,SHARXX ALPINE TEAM,SEH,32,AT,96855.0,5170.0,7457.0,11560.0,15721.0,19776.0,21655.0,27835.0,31643.0,34893.0,36622.0,38442.0,39562.0,43735.0,47751.0,50490.0,54541.0,58343.0,65537.0,73696.0,76066.0,81247.0,83991.0,90977.0,93328.0,96855.0,20700.0
32,53,DIPPACHER Matthias,TEAM DYNAFIT,SEH,33,DE,96857.0,5141.0,7410.0,11475.0,15732.0,19780.0,21612.0,27837.0,31642.0,34898.0,36624.0,38436.0,39556.0,43731.0,47753.0,50463.0,54545.0,58340.0,65534.0,73691.0,76062.0,81251.0,83992.0,90985.0,93330.0,96857.0,20702.0
33,182,RUSIN Kirill,SIBIRIA,SEH,34,RU,96893.0,5221.0,7654.0,11931.0,16352.0,20264.0,22235.0,28380.0,33015.0,36029.0,37708.0,39674.0,43122.0,46904.0,50328.0,52831.0,56716.0,60473.0,67793.0,75875.0,78134.0,83030.0,85774.0,91964.0,94137.0,96893.0,20738.0
34,110,LESNIAK Kamil,Inov-8 Team,ESH,35,PL,97008.0,5019.0,7219.0,11028.0,14711.0,18924.0,20987.0,27412.0,31726.0,35085.0,36605.0,38354.0,38594.0,42445.0,46125.0,48890.0,54834.0,58672.0,66490.0,75511.0,77750.0,83355.0,85934.0,92612.0,94498.0,97008.0,20853.0
35,153,VENCELJ Toni,TEKTONIK,V1H,36,SI,97433.0,5961.0,8626.0,13578.0,17928.0,22598.0,24854.0,31723.0,35685.0,38788.0,40961.0,43048.0,43446.0,48038.0,52066.0,54507.0,58501.0,62314.0,69859.0,76919.0,79090.0,83794.0,86515.0,92938.0,94592.0,97433.0,21278.0
36,261,ALBERDI Zigor,,SEH,37,ES,97807.0,5337.0,7741.0,12322.0,16640.0,21267.0,23370.0,30086.0,34303.0,37563.0,39424.0,41291.0,41987.0,46375.0,50110.0,52808.0,56927.0,61169.0,69987.0,77830.0,79839.0,84468.0,86776.0,92922.0,94676.0,97807.0,21652.0
37,498,TERME Jean-Michel,,SEH,38,FR,98447.0,5869.0,8408.0,12923.0,17014.0,21107.0,23269.0,29271.0,33594.0,36483.0,38471.0,40553.0,40952.0,44854.0,48469.0,50900.0,54764.0,58613.0,65826.0,74263.0,76722.0,81351.0,84655.0,91612.0,94381.0,98447.0,22292.0
